,0,1,2
0,Jewel Blitz - Block Puzzle,A gem of a block puzzle game,Puzzle
1,Solitaire Cube,Classic Klondike Solitaire,Card
2,Blackout Blitz,A new take on classic Bingo,Board
3,21 Blitz,For aspiring card counters.,Card
4,Cube Cube,"Tetris, but better!",Puzzle
5,Dominoes Gold,Go for the gold ,Board
6,Spider Solitaire Cube,Classic solitaire tournament,Card
7,Bubble Shooter Tournaments,Classic bubble popper,Puzzle
8,Big Run Solitaire,1-Card Klondike with perfect polish,Card
9,Strike! eSports Bowling,Virtual bowling!,Sports
10,Bubble Shooter Arena,Blast those pesky bubbles,Puzzle
11,Solitaire Tour - Classic Cards,Classic Klondike Solitaire,Card
12,Block Blitz,"Clear lines, hit power-ups",Puzzle
13,Freecell Solitaire Cube,Train your brain.,Card
14,Pyramid Solitaire Cube,A fast & fun card game,Card
15,Bubble Cube 2,Bubble Shooting Extravaganza!,Puzzle
16,Texas Solitaire Cube,Can you Hold-em?,Card
17,Diamond Strike,"Match gems, win prizes!",Puzzle
18,One Solitaire Cube,1-Card Draw Klondike Solitaire,Card
19,Mixmaster Showdown,Show your puzzle skills,Puzzle
20,Cribbage Blitz,Solitaire meets Cribbage,Card
21,Real Money Word Search,Multiplayer Word Search,Word
22,CandyPrize,Swap candies to complete each objective,Puzzle
23,Word Race,Trace Words. Score Points. ,Word
24,Pool Payday,Up for a game of pool?,Sports
25,Word Blitz,Most Popular Word Game on iOS,Word
26,Golf Solitaire Cube,"A fast, fun card game. ",Card
27,Gin Rummy Gold,Make melds with the best,Card
28,Pro League Bubble Shooter,Bubble bursting encouraged.,Puzzle
29,Pro Pool - Ultimate 8 Ball,Most Realistic Pool iOS Game,Sports
30,Word Cube,For Scrabble lovers.,Word
31,Diamond Blitz 2,"Blasts, crystals, & bombs!",Puzzle
32,Backgammon Blitz,Backgammon for your pocket.,Board
33,Bubble Shooter League,Pop to the top!,Puzzle
34,Moneyball,A basketball revolution,Sports
35,Tap n Merge Tournament,Merge three to reach the next number,Puzzle
36,Mahjong,Best Mahjong for Mobile,Board
37,Merge Cube,Combine numbers and merge special tiles,Puzzle
38,Threesquare,Combine numbers to score!,Puzzle
39,Big Hearts,Quick competitions in a classic card game,Card
40,21 Frenzy,Blackjack & Solitaire combo,Card
41,Color Combo Challenge,Combining colors AND numbers?!,Puzzle
42,10 Pin Shuffle Tournaments,Epic 3D Bowling Game,Sports
43,Rummy Solitaire,You hold all the cards,Card
44,Coin Craze - Real Prizes,Speed & Strategy Puzzle,Puzzle
45,Mini Golf King,Action-packed Mini Golf,Sports
46,Match Harmony,Match gems to unlock musical notes,Puzzle
47,Can Strike! ,Throw balls at soda cans,Physics
48,Solitaire Merge Blitz,Solitaire Merge Madness!,Card
49,Bubble Shooter - Classic Match,Shoot and pop them all,Puzzle
50,Question Cube,Trivia Tournaments,Quiz
51,2048 Super Solitaire,Merge matching cards to reach 2048!,Card
52,FunkiBlast Challenge,A bubble shooter + match-3 mash-up,Puzzle
53,Millionaire TV Cash Prizes,#1 Game Show in the World,Quiz
54,Solitaire VIP,Classic Klondike Solitaire ,Card
55,Real8BallPool,How quickly can you run the table?,Sports
56,Gem Star Blitz,A fun block puzzle game,Puzzle
57,Neoblox Tournaments,Colorful block puzzle,Puzzle
58,Smash 100,"Simple, yet addictive.",Physics
59,Wordie - eSports Word Game,Use streaks and bonus tiles to spell high-scoring words!,Word
60,Flick Basketball Arcade,Adrenaline-rush gameplay!,Physics
61,Color Ring - Cash Tournament,A colorful challenge.,Puzzle
62,Tens!,Block puzzle meets number game,Board
63,Mahjong Solitaire Challenge,Classic Mahjong solitaire,Board
64,13 Cards Tournament,Arrange your cards to make the best three hands!,Card
65,Strike! eSports Candle Pin Bowling,Launch the ball like a pro,Sports
66,Strike! eSports DuckPin Bowling,Bowl with a flick of a finger,Sports
67,Dice Blitz,Match 3 Dice,Puzzle
68,Jelly Jamboree,"Squishy, match-y, jelly!",Puzzle
69,Solitaire Sprint Tournament,Think fast!,Card
70,Bubble Blitz Frenzy,"Easy, yet deep strategy",Puzzle
71,Pirate Blitz,Match 3 meets Tetris,Puzzle
72,TapBurst Challenge,Blast the blocks away,Puzzle
73,Cascade Challenge,Challenge your brain,Puzzle
74,Real Money Solitaire,Play Solitaire for cash!,Card
75,Pipe Cube,Fun with plumbing,Puzzle
76,Tappy Dunk Shots,Dunky tappy fun,Sports
77,Bridge,3 Popular Variants,Card
78,Pro 8 Ball World League,World's #1 Pool Game,Sports
79,Gun Blast League,Blast your enemies!,Physics
80,Pyramid Solitaire Royal Gold,Play among Egyptian pyramids,Card
81,Quezztion Real Money Trivia,Show your trivia skills!,Quiz
82,Brick Breaker - Win Money!,Best multiplayer battle game,Physics
83,5 Card Frenzy,Poker & Solitaire collide!,Card
84,Williams Pinball,A Mobile Pinball Experience,Physics
85,Math Guru - Win Real Money!,Solve as fast as you can!,Quiz
86,Laps Tournaments,eSports-styled version of Laps,Puzzle
87,Paint Box - Match 3 Colors,A simple color puzzle game,Puzzle
88,2 Minute Football,Score as many TDs as you can!,Sports
89,21,Card game for the 21st century,Card
90,Dragon Blast,Explode matching blocks with your dragon,Puzzle
91,Gin Solitaire,Experience the gameplay,Card
92,Gummy Blast Challenge,Slide rows and match gummies to win,Puzzle
93,Knots Champ,Celebrate the colors of life,Puzzle
94,Dunk A Lot - Tournaments,Can you dunk?,Sports
95,Solitaire Tycoon Lucky Cards,Live head-to-head Klondike solitaire,Card
96,Tac Tac Way - ProLeague,Tap to steer and don't fall!,Action
97,Turbo Typing - Win Real Money!,Type like the wind!,Word
98,3D Cave Runner,"Run, catch gems, run!",Action
99,Soccer Rivals,"Soccer fans, rejoice!",Sports
100,5-Card Solitaire,A new twist on solitaire,Card
101,Domino Arena: Pro Multiplayer Cash Tournaments,Master those dominoes!,Board
102,Gin Rummy Arena,Compete in Gin Rummy,Card
103,Solitaire Blitz,"Combine, strategize, and score",Card
104,"Guns, Cars and Zombies! Turbo",Post-apocalyptic racing game,Action
105,Rings,"Arrange, stack, match",Puzzle
106,Beswitched Tournament,Beautiful matching challenge!,Puzzle
107,Reckless Getaway VS,"Race, smash and crash",Action
108,Wild Bloom Brawl,Match-3 thrills with epic pets,Puzzle
109,Mahjong Blitz,Mahjong Tile Matching,Board
110,Domino Blitz,Simple & fun puzzle. ,Board
111,Sky Piper - Tournament,Pilot your jet past obstacles!,Action
112,Zen Pinball - eSports Edition,Test your pinball skills,Physics
113,Letter Heroes - Tournaments,Save those letters!,Word
114,REACH versus,Brain-teasing color combo game,Puzzle
115,Swish,Shoot hoops against the pros,Sports
116,Nebulous,Become the biggest blob!,Physics
117,Mini Golf Stars 2,Mobile Golf Tournaments,Sports
118,Pinball Tournaments,Escape the Black Hole. ,Physics
119,Vista Golf Rivals,Up for a game of mini golf?,Sports
120,Directional 2.0,"Break blocks, profit!",Physics
121,Snipers vs Thieves: Zombies,Best Sniper or Ultimate Thief?,Action
122,Munchie Match Online,Match three snacks to eat them up!,Puzzle
123,Tic Pok Toe 5x5,Play your cards right to make winning hands!,Card
124,TriviaBurst,Bursting with answers?,Quiz
