,0,1,2
0,Jewel Blitz - Block Puzzle,A gem of a block puzzle game,Puzzle
1,Cube Cube,"Tetris, but better!",Puzzle
2,Bubble Shooter Tournaments,Classic bubble popper,Puzzle
3,Bubble Shooter Arena,Blast those pesky bubbles,Puzzle
4,Block Blitz,"Clear lines, hit power-ups",Puzzle
5,Bubble Cube 2,Bubble Shooting Extravaganza!,Puzzle
6,Diamond Strike,"Match gems, win prizes!",Puzzle
7,Mixmaster Showdown,Show your puzzle skills,Puzzle
8,CandyPrize,Swap candies to complete each objective,Puzzle
9,Diamond Blitz 2,"Blasts, crystals, & bombs!",Puzzle
10,Bubble Shooter League,Pop to the top!,Puzzle
11,Tap n Merge Tournament,Merge three to reach the next number,Puzzle
12,Merge Cube,Combine numbers and merge special tiles,Puzzle
13,Pro League Bubble Shooter,Bubble bursting encouraged.,Puzzle
14,Threesquare,Combine numbers to score!,Puzzle
15,Coin Craze - Real Prizes,Speed & Strategy Puzzle,Puzzle
16,Match Harmony,Match gems to unlock musical notes,Puzzle
17,Color Combo Challenge,Combining colors AND numbers?!,Puzzle
18,Bubble Shooter - Classic Match,Shoot and pop them all,Puzzle
19,FunkiBlast Challenge,A bubble shooter + match-3 mash-up,Puzzle
20,Laps Tournaments,eSports-styled version of Laps,Puzzle
21,Color Ring - Cash Tournament,A colorful challenge.,Puzzle
22,Gem Star Blitz,A fun block puzzle game,Puzzle
23,Neoblox Tournaments,Colorful block puzzle,Puzzle
24,Jelly Jamboree,"Squishy, match-y, jelly!",Puzzle
25,Dice Blitz,Match 3 Dice,Puzzle
26,Bubble Blitz Frenzy,"Easy, yet deep strategy",Puzzle
27,Pirate Blitz,Match 3 meets Tetris,Puzzle
28,Pipe Cube,Fun with plumbing,Puzzle
29,Cascade Challenge,Challenge your brain,Puzzle
30,TapBurst Challenge,Blast the blocks away,Puzzle
31,Paint Box - Match 3 Colors,A simple color puzzle game,Puzzle
32,Knots Champ,Celebrate the colors of life,Puzzle
33,Dragon Blast,Explode matching blocks with your dragon,Puzzle
34,Beswitched Tournament,Beautiful matching challenge!,Puzzle
35,Gummy Blast Challenge,Slide rows and match gummies to win,Puzzle
36,Rings,"Arrange, stack, match",Puzzle
37,Wild Bloom Brawl,Match-3 thrills with epic pets,Puzzle
38,REACH versus,Brain-teasing color combo game,Puzzle
39,Munchie Match Online,Match three snacks to eat them up!,Puzzle
40,Solitaire Cube,Classic Klondike Solitaire,Card
41,21 Blitz,For aspiring card counters.,Card
42,Spider Solitaire Cube,Classic solitaire tournament,Card
43,Big Run Solitaire,1-Card Klondike with perfect polish,Card
44,Solitaire Tour - Classic Cards,Classic Klondike Solitaire,Card
45,Freecell Solitaire Cube,Train your brain.,Card
46,Pyramid Solitaire Cube,A fast & fun card game,Card
47,Texas Solitaire Cube,Can you Hold-em?,Card
48,One Solitaire Cube,1-Card Draw Klondike Solitaire,Card
49,Cribbage Blitz,Solitaire meets Cribbage,Card
50,Gin Rummy Gold,Make melds with the best,Card
51,Golf Solitaire Cube,"A fast, fun card game. ",Card
52,Big Hearts,Quick competitions in a classic card game,Card
53,Solitaire Merge Blitz,Solitaire Merge Madness!,Card
54,2048 Super Solitaire,Merge matching cards to reach 2048!,Card
55,Rummy Solitaire,You hold all the cards,Card
56,21 Frenzy,Blackjack & Solitaire combo,Card
57,Solitaire VIP,Classic Klondike Solitaire ,Card
58,Solitaire Sprint Tournament,Think fast!,Card
59,13 Cards Tournament,Arrange your cards to make the best three hands!,Card
